Session_Name_	Trial_Index_	Trial_Recycled_	condition	text	question	expected_key	QUESTION_KEY_PRESSED	QUESTION_RT	QUESTION_ACCURACY	SENTENCE_RT	speechid	paragraphid	counterbalance	LAST_COUNTERBALANCE
Test	1	False	practice	"NY TALE BEGYNDER NU"	"NO QUESTION"	NA	.	-1	-1	621	1327	-1	0	0
Test	2	False	practice	"Hej alle sammen!"	"NO QUESTION"	NA	.	-1	-1	874	1327	0	0	0
Test	3	False	practice	"Som I allerede ved, vil vi om lidt tænde for et bål, der vil brænde et skab af – det skab, vi har følt os begrænset af, indelukket i, og som de fleste af os er brudt ud af for at kunne blive lykkeligere."	"NO QUESTION"	NA	.	-1	-1	687	1327	1	0	0
Test	4	False	practice	"'Men skabe er da ganske praktiske til opbevaring af mangt og meget, ikke sandt?' Jo, opbevaring af værdier, det er rigtigt – men når vi først begynder at sætte spørgsmålstegn ved disse værdier, så føles skabet mere og mere trangt, for det kan ikke rumme vores ideer og følelser mere."	"NO QUESTION"	NA	.	-1	-1	221	1327	2	0	0
Test	5	False	practice	"'Jamen hvad er der i det skab?' Der er en opfattelse af at kvinder og mænd skal tænke, føle, klæde sig og handle forskelligt – fordi nogle er kvinder og andre er mænd. Kønsroller kalder vi det. Men det rækker faktisk meget længere end bare til roller, vi spiller – rollerne invaderer vores tanker og vores følelser, så vi næsten ikke kan tænke uden for rollen, så længe skabet omslutter os, og i hvert fald først og fremmest føler vi må tage hensyn til dem, der er i skabet..."	"Spørgsmål:\nMener taleren at kønsroller både påvirker hvordan vi handler og tænker?"	1	1	1301	1	153	1327	3	0	0
Test	6	False	practice	"Når vi endelig bryder ud af skabet og for alvor viser og siger det, der ikke passer i det normative skab, kan vi godt opleve negative reaktioner – men så sandelig også positive – for vi er jo slet ikke alene!"	"NO QUESTION"	NA	.	-1	-1	1667	1327	4	0	0
Test	7	False	practice	"Der er nemlig andre som ligner os mere eller mindre, vi er en broget og mangfoldig flok i alle aldre, hudfarver, kulturelle baggrunde, med og uden handicap, med og uden tro, af forskellig politisk overbevisning, og – vigtigst for os her: af flere forskellige kønsidentiteter og seksuelle orienteringer."	"NO QUESTION"	NA	.	-1	-1	266	1327	5	0	0
Test	8	False	practice	"Fælles for os er, at vi er en regnbueminoritet i forhold til flertallets skab – men det betyder ikke at majoriteten har ret. Vi vil udefra informere om, at der er andre måder at se tingene på, tilbyde et alternativt syn på livet og verden, som kan hjælpe nogle – især børn og unge – ud af et skab, de mistrives i."	"Spørgsmål:\nMener taleren at minoriteter bør tie med deres verdenssyn?"	2	1	235	0	7770	1327	6	0	0
Test	9	False	practice	"Lad os brænde skabet med normerne, så vi frigøres fra dem og får retten til at være dem, vi faktisk er!"	"NO QUESTION"	NA	.	-1	-1	715	1327	7	0	0
Test	10	False	experiment	"NY TALE BEGYNDER NU"	"NO QUESTION"	NA	.	-1	-1	798	18561	-1	5	5
Test	11	False	experiment	"Kære alle sammen\nJeg tror, alle har en historie om en lærer, der på en eller anden måde har gjort en forskel for os. En lærer, der så vores talent, støttede os i en svær tid eller gjorde os nysgerrige efter at lære mere."	"NO QUESTION"	NA	.	-1	-1	935	18561	0	5	5
Test	12	False	experiment	"Flemming, min klasselærer, var sådan en lærer. Vi havde ham i dansk igennem 7 år. Han var et trygt og sikkert anker for os. Han var god til at formidle, og så var han til stede i klasseværelset og gjorde det hyggeligt og sjovt at lære."	"NO QUESTION"	NA	.	-1	-1	42	18561	1	5	5
Test	13	False	experiment	"Alle børn fortjener en superlærer som Flemming. Den slags lærere er vigtige for sammenhængskraften i vores samfund. Det er dem, der har vores børn i hænderne i 10 år i træk. Det er dem, der skal give vores børn et solidt fundament af faglighed. Og det er dem, der skal udvikle vores børn til at blive kloge, selvstændige og kritiske unge.\nLige om lidt er det jeres tur som lærerstuderende. Og jeg er glad for, at I har taget initiativ til konferencen her, så vi kan få talt om, hvordan vi i fælleskab former fremtidens læreruddannelse."	"NO QUESTION"	NA	.	-1	-1	434	18561	2	5	5
Test	14	False	experiment	"Som I måske ved, har jeg været rundt i landet for at få læreruddannelsen mere ind under huden. For min holdning er, at jeg gerne vil se – med egne øjne – hvordan det står til, inden jeg konkluderer, hvad vi eventuelt skal forandre. Mit indtryk er, at rigtig mange af jer gerne vil ud og være superlærere. I brænder for at undervise alle slags børn. I er ikke bare optaget af fagfagligheden, men også af at inspirere vores børn gennem god formidling."	"NO QUESTION"	NA	.	-1	-1	1370	18561	3	5	5
Test	15	False	experiment	"Og når jeg spørger, hvad der kan være anderledes, så hører jeg egentlig mere end noget andet; at I gerne vil have mere. Mere undervisning, mere praktik, mere læring. Det er en stor gave, at vi har en studentergruppe, der er så engageret. Så er det vores opgave som politikere at sørge for at imødekomme jer på jeres ønsker så godt, vi kan."	"Spørgsmål:\nØnsker de lærerstuderende - ifølge taleren - mere undervisning?"	1	1	6987	1	66	18561	4	5	5
Test	16	False	experiment	"Der er særligt én ting, som jeg har lagt mærke til, når jeg har været rundt på de forskellige uddannelser. Ligegyldigt hvor jeg kommer – om det er i Hjørring, Vordingborg eller København – så oplever jeg, at der er et ønske om at få læreruddannelsen tættere knyttet til praksis. Mange lærerstuderene er bekymrede for at komme ud i deres første job. Om de er klædt godt nok på. Det kan jeg godt forstå. Det er en kompleks opgave at være lærer i dag."	"NO QUESTION"	NA	.	-1	-1	616	18561	5	5	5
Test	17	False	experiment	"Jeg var selv i praktik med Knud, der var i praktik som kemilærer. Så bliver det næsten ikke mere 'meta' end det. Det var sidste mandag, at jeg var i praktik på Søndervangsskolen. Her lærte jeg om svovlsyre i 7A. Men jeg blev også klogere på praktikken."	"NO QUESTION"	NA	.	-1	-1	79	18561	6	5	5
Test	18	False	experiment	"Det var tydeligt, at Knud – som mange andre studerende – så netop praktikken som højdepunktet på uddannelsen. For ham blev uddannelsen først rigtig spændende, da han mødte virkeligheden på Søndervangsskolen og fik sat liv på alle teorierne. Og fik prøvet sig selv af."	"NO QUESTION"	NA	.	-1	-1	923	18561	7	5	5
Test	19	False	experiment	"Alle steder hører jeg, at de studerende ønsker mere praktik, mere sammenhængende praktik og en bedre overgang fra auditorie til klasseværelse. Den sammenhæng mellem virkeligheden og det, de studerende lærer på uddannelsen, vil jeg gerne være med til at styrke."	"NO QUESTION"	NA	.	-1	-1	1023	18561	8	5	5
Test	20	False	experiment	"Derfor bliver jeg glad, når jeg hører, at kommunerne kalder sig 'meduddannere'. For det er afgørende, at også kommunerne spiller med. Jeg kan ikke bare lovgive om, at jeres uddannelse skal være bedre knyttet til praksis og så læne mig tilbage. Vi har brug for at tænke det hele sammen og gøre det i fællesskab."	"NO QUESTION"	NA	.	-1	-1	86	18561	9	5	5
Test	21	False	experiment	"Jeg vil gerne insistere på at balancere den her diskussion. For jeg synes, der er en tendens til, at vi politikere gerne vil signalere viljekraft og slagkraft og sige: Yes, her er noget, der ikke fungerer. Vi laver en ny reform!"	"NO QUESTION"	NA	.	-1	-1	424	18561	10	5	5
Test	22	False	experiment	"Det er måske derfor, jeres uddannelse har været igennem reform efter reform efter reform i de sidste 20 år. Jeg tror, vi kan gøre det klogere. Jeg tror, vi kan vælge at bruge de rammer, der blev lagt for læreruddannelsen i 2013 bedre. Og så se på – hen ad vejen – hvad der eventuelt kræver en lovændring, hvad der kræver økonomi, og hvad der kræver bedre kobling til det kommunale."	"NO QUESTION"	NA	.	-1	-1	609	18561	11	5	5
Test	23	False	experiment	"Det andet, jeg gerne vil være med til at styrke og tager meget alvorligt, det er de studerendes trivsel. Vi har alt for mange studerende, der er stressede. Ikke bare op til eksamen. Men også på en helt almindelig hverdag. Der gør mig bekymret. For det kan gå hen og blokere for, at I kan blive superlærere."	"NO QUESTION"	NA	.	-1	-1	6624	18561	12	5	5
Test	24	False	experiment	"Jeg er særligt bekymret for jer på lærerstudiet, fordi I oplever den her stress og mistrivsel dobbelt. På den ene side er I selv en del af en stresset ungdomsgeneration, og på den anden side skal I være klædt på til at rumme, at vores børnegruppe i folkeskolen også er det."	"NO QUESTION"	NA	.	-1	-1	3563	18561	13	5	5
Test	25	False	experiment	"Når jeg er ude og besøge gymnasier og spørger eleverne dér, hvad de laver i deres fritid, så siger de: 'Fritid? Vi laver afleveringer.' De føler ikke, at der er tid til at indgå i fælleskaber. Det at lave sine afleveringer, gøre sig umage og være flittig, fylder det hele. Men hvad så med det fælleskab, der var, da man var spejderleder? Eller fodboldtræner? Eller aktiv i en ungdomsforening? Hvad så med den værdi, det giver at være noget for nogen? Hvad sker der med den, hvis det hele går op i at præstere og få gode karakterer?"	"NO QUESTION"	NA	.	-1	-1	873	18561	14	5	5
Test	26	False	experiment	"Fælleskaber er vigtige. For vi skal kunne hente vores værdier flere steder fra. Og hvis vi har gode fælleskaber, har vi også nemmere ved at sige: Det blev så ikke til et 12-tal den her gang. Men de børn, jeg er svømmelærer for, dem får jeg smilet frem i."	"NO QUESTION"	NA	.	-1	-1	206	18561	15	5	5
Test	27	False	experiment	"En ting er sikkert: Vi har brug for, at I trives som lærerstuderende. Så I har overskud til at lære og være nysgerrige og blive klogere. For det er også det lys, de skal ud og tænde i elevernes øjne. Nysgerrighedens lys."	"NO QUESTION"	NA	.	-1	-1	302	18561	16	5	5
