Session_Name_	Trial_Index_	Trial_Recycled_	condition	text	question	expected_key	QUESTION_KEY_PRESSED	QUESTION_RT	QUESTION_ACCURACY	SENTENCE_RT	speechid	paragraphid	counterbalance	LAST_COUNTERBALANCE
P01	1	False	practice	"NY TALE BEGYNDER NU"	"NO QUESTION"	NA	.	-1	-1	3176	1327	-1	0	0
P01	2	False	practice	"Hej alle sammen!"	"NO QUESTION"	NA	.	-1	-1	1630	1327	0	0	0
P01	3	False	practice	"Som I allerede ved, vil vi om lidt tænde for et bål, der vil brænde et skab af – det skab, vi har følt os begrænset af, indelukket i, og som de fleste af os er brudt ud af for at kunne blive lykkeligere."	"NO QUESTION"	NA	.	-1	-1	14906	1327	1	0	0
P01	4	False	practice	"'Men skabe er da ganske praktiske til opbevaring af mangt og meget, ikke sandt?' Jo, opbevaring af værdier, det er rigtigt – men når vi først begynder at sætte spørgsmålstegn ved disse værdier, så føles skabet mere og mere trangt, for det kan ikke rumme vores ideer og følelser mere."	"NO QUESTION"	NA	.	-1	-1	18447	1327	2	0	0
P01	5	False	practice	"'Jamen hvad er der i det skab?' Der er en opfattelse af at kvinder og mænd skal tænke, føle, klæde sig og handle forskelligt – fordi nogle er kvinder og andre er mænd. Kønsroller kalder vi det. Men det rækker faktisk meget længere end bare til roller, vi spiller – rollerne invaderer vores tanker og vores følelser, så vi næsten ikke kan tænke uden for rollen, så længe skabet omslutter os, og i hvert fald først og fremmest føler vi må tage hensyn til dem, der er i skabet..."	"Spørgsmål:\nMener taleren at kønsroller både påvirker hvordan vi handler og tænker?"	1	1	7620	1	31760	1327	3	0	0
P01	6	False	practice	"Når vi endelig bryder ud af skabet og for alvor viser og siger det, der ikke passer i det normative skab, kan vi godt opleve negative reaktioner – men så sandelig også positive – for vi er jo slet ikke alene!"	"NO QUESTION"	NA	.	-1	-1	16439	1327	4	0	0
P01	7	False	practice	"Der er nemlig andre som ligner os mere eller mindre, vi er en broget og mangfoldig flok i alle aldre, hudfarver, kulturelle baggrunde, med og uden handicap, med og uden tro, af forskellig politisk overbevisning, og – vigtigst for os her: af flere forskellige kønsidentiteter og seksuelle orienteringer."	"NO QUESTION"	NA	.	-1	-1	19606	1327	5	0	0
P01	8	False	practice	"Fælles for os er, at vi er en regnbueminoritet i forhold til flertallets skab – men det betyder ikke at majoriteten har ret. Vi vil udefra informere om, at der er andre måder at se tingene på, tilbyde et alternativt syn på livet og verden, som kan hjælpe nogle – især børn og unge – ud af et skab, de mistrives i."	"Spørgsmål:\nMener taleren at minoriteter bør tie med deres verdenssyn?"	2	2	5893	1	22888	1327	6	0	0
P01	9	False	practice	"Lad os brænde skabet med normerne, så vi frigøres fra dem og får retten til at være dem, vi faktisk er!"	"NO QUESTION"	NA	.	-1	-1	8389	1327	7	0	0
P01	10	False	experiment	"NY TALE BEGYNDER NU"	"NO QUESTION"	NA	.	-1	-1	1595	7905	-1	5	5
