RECORDING_SESSION_LABEL	TRIAL_INDEX	EYE_USED	IA_AREA	IA_DWELL_TIME	IA_FIRST_FIXATION_DURATION	IA_FIRST_FIXATION_INDEX	IA_FIRST_FIXATION_PREVIOUS_FIX_IA	IA_FIRST_FIXATION_PREVIOUS_IAREAS	IA_FIRST_FIXATION_RUN_INDEX	IA_FIRST_FIX_PROGRESSIVE	IA_FIRST_RUN_DWELL_TIME	IA_FIRST_RUN_FIXATION_COUNT	IA_FIXATION_COUNT	IA_ID	IA_LABEL	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	IA_SKIP	INTEREST_AREA_FIXATION_SEQUENCE	TRIAL_DWELL_TIME	TRIAL_FIXATION_COUNT	TRIAL_IA_COUNT	TRIAL_LABEL	TRIAL_TOTAL_VISITED_IA_COUNT	SENTENCE_RT	Trial_Index_	paragraphid	speechid
"P09"	1	"RIGHT"	950,00	0	.	.	.	.	.	.	.	.	0	1	"N"	.	.	.	.	.	.	1	[0]	115,00	2	16	"Trial: 1"	0	43	1	-1	1327
"P09"	1	"RIGHT"	836,00	0	.	.	.	.	.	.	.	.	0	2	"Y"	.	.	.	.	.	.	1	[0]	115,00	2	16	"Trial: 1"	0	43	1	-1	1327
"P09"	1	"RIGHT"	874,00	0	.	.	.	.	.	.	.	.	0	3	"T"	.	.	.	.	.	.	1	[0]	115,00	2	16	"Trial: 1"	0	43	1	-1	1327
"P09"	1	"RIGHT"	570,00	0	.	.	.	.	.	.	.	.	0	4	"A"	.	.	.	.	.	.	1	[0]	115,00	2	16	"Trial: 1"	0	43	1	-1	1327
"P09"	1	"RIGHT"	570,00	0	.	.	.	.	.	.	.	.	0	5	"L"	.	.	.	.	.	.	1	[0]	115,00	2	16	"Trial: 1"	0	43	1	-1	1327
"P09"	1	"RIGHT"	836,00	0	.	.	.	.	.	.	.	.	0	6	"E"	.	.	.	.	.	.	1	[0]	115,00	2	16	"Trial: 1"	0	43	1	-1	1327
"P09"	1	"RIGHT"	874,00	0	.	.	.	.	.	.	.	.	0	7	"B"	.	.	.	.	.	.	1	[0]	115,00	2	16	"Trial: 1"	0	43	1	-1	1327
"P09"	1	"RIGHT"	570,00	0	.	.	.	.	.	.	.	.	0	8	"E"	.	.	.	.	.	.	1	[0]	115,00	2	16	"Trial: 1"	0	43	1	-1	1327
"P09"	1	"RIGHT"	570,00	0	.	.	.	.	.	.	.	.	0	9	"G"	.	.	.	.	.	.	1	[0]	115,00	2	16	"Trial: 1"	0	43	1	-1	1327
"P09"	1	"RIGHT"	570,00	0	.	.	.	.	.	.	.	.	0	10	"Y"	.	.	.	.	.	.	1	[0]	115,00	2	16	"Trial: 1"	0	43	1	-1	1327
