,id,frequency_prop,number_of_sents,tokens_per_speech,types_per_speech,tokens_per_sent,avg_token_length
19,1125,0.74,132,1917,611,"(14.52, 8.75, 1, 45)","(3.84, 2.87, 1, 22)"
18,1165,0.78,71,1319,454,"(18.58, 11.5, 1, 59)","(3.71, 2.39, 1, 17)"
7,1317,0.74,107,1830,683,"(17.1, 7.53, 5, 44)","(4.73, 3.86, 1, 34)"
6,1318,0.75,114,2143,711,"(18.8, 9.73, 5, 51)","(4.38, 3.39, 1, 25)"
5,1323,0.74,100,2044,720,"(20.44, 10.59, 4, 50)","(4.62, 3.7, 1, 25)"
17,7797,0.7,119,1639,645,"(13.77, 8.63, 1, 37)","(3.94, 2.96, 1, 24)"
16,7856,0.77,59,2139,634,"(36.25, 26.47, 2, 139)","(3.75, 2.55, 1, 21)"
15,7905,0.73,106,2648,1056,"(24.98, 14.74, 3, 67)","(4.5, 3.3, 1, 24)"
14,7946,0.71,134,1700,591,"(12.69, 9.72, 1, 80)","(3.82, 2.74, 1, 20)"
11,10365,0.71,126,1782,615,"(14.14, 8.05, 2, 43)","(3.69, 2.64, 1, 24)"
4,10440,0.73,89,1150,409,"(12.92, 7.64, 2, 38)","(3.98, 3.23, 1, 22)"
13,11171,0.73,51,1170,477,"(22.94, 13.78, 1, 56)","(3.97, 2.86, 1, 20)"
12,12063,0.68,57,1172,498,"(20.56, 14.26, 2, 57)","(3.89, 2.81, 1, 23)"
10,17526,0.74,109,2846,784,"(26.11, 15.91, 1, 71)","(3.8, 2.85, 1, 24)"
1,18473,0.75,37,978,391,"(26.43, 13.98, 4, 58)","(4.51, 3.56, 1, 20)"
3,18561,0.74,82,1260,410,"(15.37, 7.91, 1, 37)","(3.87, 2.93, 1, 18)"
2,18670,0.72,81,1282,480,"(15.83, 9.38, 1, 54)","(4.05, 3.09, 1, 21)"
0,22811,0.73,54,1357,524,"(25.13, 19.4, 1, 97)","(4.16, 3.41, 1, 29)"
9,26670,0.79,102,2215,641,"(21.72, 11.7, 1, 52)","(3.94, 2.73, 1, 22)"
8,26682,0.78,119,2306,737,"(19.38, 10.66, 1, 52)","(4.1, 2.93, 1, 21)"
