trialId,speechId,paragraphId,wordId,word,word_fixated,number_of_fixations,word_landing_position,word_first_fixation_duration,word_first_char_dwell,word_total_fix_time
1,1327,-1,1,NY,False,0,,NA,NA,NA
1,1327,-1,2,TALE,True,7,L,231,480,2129
1,1327,-1,3,BEGYNDER,True,8,Y,109,109,2501
1,1327,-1,4,NU,True,1,U,153,492,492
2,1327,0,1,Hej,False,0,,NA,NA,NA
2,1327,0,2,alle,True,1,l,73,73,73
2,1327,0,3,sammen!,False,0,,NA,NA,NA
3,1327,1,1,Som,False,0,,NA,NA,NA
3,1327,1,2,I,False,0,,NA,NA,NA
3,1327,1,3,allerede,True,1,r,75,75,75
3,1327,1,4,"ved,",False,0,,NA,NA,NA
3,1327,1,5,vil,True,1,i,88,88,88
3,1327,1,6,vi,True,2,v,138,248,248
3,1327,1,7,om,True,1,o,128,128,128
3,1327,1,8,lidt,False,0,,NA,NA,NA
3,1327,1,9,tænde,True,2,t,182,182,385
3,1327,1,10,for,True,2,f,156,156,316
3,1327,1,11,et,False,0,,NA,NA,NA
3,1327,1,12,"bål,",True,1,a,204,204,204
3,1327,1,13,der,True,1,r,27,27,27
3,1327,1,14,vil,False,0,,NA,NA,NA
3,1327,1,15,brænde,False,0,,NA,NA,NA
3,1327,1,16,et,False,0,,NA,NA,NA
3,1327,1,17,skab,True,1,k,228,228,228
3,1327,1,18,af,True,1,a,135,135,135
3,1327,1,19,–,False,0,,NA,NA,NA
3,1327,1,20,det,False,0,,NA,NA,NA
3,1327,1,21,"skab,",True,1,a,222,222,222
3,1327,1,22,vi,False,0,,NA,NA,NA
3,1327,1,23,har,False,0,,NA,NA,NA
3,1327,1,24,følt,False,0,,NA,NA,NA
3,1327,1,25,os,True,1,s,161,161,161
3,1327,1,26,begrænset,True,2,r,136,136,278
3,1327,1,27,"af,",False,0,,NA,NA,NA
3,1327,1,28,indelukket,True,2,i,149,149,411
3,1327,1,29,"i,",False,0,,NA,NA,NA
3,1327,1,30,og,True,1,o,217,217,217
3,1327,1,31,som,False,0,,NA,NA,NA
3,1327,1,32,de,False,0,,NA,NA,NA
3,1327,1,33,fleste,True,1,f,219,219,219
3,1327,1,34,af,False,0,,NA,NA,NA
3,1327,1,35,os,False,0,,NA,NA,NA
3,1327,1,36,er,False,0,,NA,NA,NA
3,1327,1,37,brudt,True,1,b,171,171,171
3,1327,1,38,ud,False,0,,NA,NA,NA
3,1327,1,39,af,False,0,,NA,NA,NA
3,1327,1,40,for,False,0,,NA,NA,NA
3,1327,1,41,at,False,0,,NA,NA,NA
3,1327,1,42,kunne,False,0,,NA,NA,NA
3,1327,1,43,blive,False,0,,NA,NA,NA
3,1327,1,44,lykkeligere.,True,1,e,179,179,179
4,1327,2,1,'Men,False,0,,NA,NA,NA
4,1327,2,2,skabe,True,2,e,84,84,119
4,1327,2,3,er,False,0,,NA,NA,NA
4,1327,2,4,da,True,1,a,65,65,65
4,1327,2,5,ganske,False,0,,NA,NA,NA
4,1327,2,6,praktiske,False,0,,NA,NA,NA
4,1327,2,7,til,False,0,,NA,NA,NA
4,1327,2,8,opbevaring,True,1,e,193,193,193
4,1327,2,9,af,False,0,,NA,NA,NA
4,1327,2,10,mangt,False,0,,NA,NA,NA
4,1327,2,11,og,False,0,,NA,NA,NA
4,1327,2,12,"meget,",True,1,e,201,201,201
4,1327,2,13,ikke,False,0,,NA,NA,NA
4,1327,2,14,sandt?',False,0,,NA,NA,NA
4,1327,2,15,"Jo,",False,0,,NA,NA,NA
4,1327,2,16,opbevaring,True,2,p,175,175,322
4,1327,2,17,af,False,0,,NA,NA,NA
4,1327,2,18,"værdier,",True,1,i,158,158,158
4,1327,2,19,det,True,1,e,136,136,136
4,1327,2,20,er,False,0,,NA,NA,NA
4,1327,2,21,rigtigt,True,1,g,216,216,216
4,1327,2,22,–,False,0,,NA,NA,NA
4,1327,2,23,men,False,0,,NA,NA,NA
4,1327,2,24,når,False,0,,NA,NA,NA
4,1327,2,25,vi,True,1,v,164,164,164
4,1327,2,26,først,True,1,t,189,189,189
