trialId,speechId,paragraphId,wordId,word,word_fixated,number_of_fixations,word_landing_position,word_first_fixation_duration,word_first_char_dwell,word_total_fix_time,word_landing_position_char,word_landing_position_index,word_first_char_dwell_time,word_gaze_duration,word_go_past_time
1,1327,-1,1,NY,True,4,,291,,2457,Y,1.0,1568.0,TBD,TBD
1,1327,-1,2,TALE,True,8,,110,,3043,E,3.0,343.0,TBD,TBD
1,1327,-1,3,BEGYNDER,True,18,,417,,5473,E,6.0,610.0,TBD,TBD
1,1327,-1,4,NU,True,4,,406,,1290,N,0.0,1290.0,TBD,1290
2,1327,0,1,Hej,True,9,,332,,2791,j,2.0,2404.0,TBD,TBD
2,1327,0,2,alle,True,8,,143,,3227,l,2.0,143.0,TBD,TBD
2,1327,0,3,sammen!,True,9,,564,,5639,m,2.0,1032.0,TBD,5639
3,1327,1,1,Som,True,4,,263,,1029,o,1.0,676.0,TBD,TBD
3,1327,1,2,I,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,3,allerede,True,5,,114,,817,r,4,234,TBD,TBD
3,1327,1,4,"ved,",True,2,,276,,491,v,0,276,491,491
3,1327,1,5,vil,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,6,vi,True,2,,547,,868,v,0,868,TBD,TBD
3,1327,1,7,om,True,1,,223,,223,o,0,223,223,223
3,1327,1,8,lidt,True,3,,131,,392,t,3,257,TBD,TBD
3,1327,1,9,tænde,True,2,,306,,516,e,4,306,TBD,TBD
3,1327,1,10,for,True,1,,260,,260,f,0,260,260,260
3,1327,1,11,et,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,12,"bål,",True,2,,145,,338,",",3,145,338,338
3,1327,1,13,der,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,14,vil,True,1,,170,,170,v,0,170,TBD,TBD
3,1327,1,15,brænde,True,1,,115,,115,b,0,115,115,115
3,1327,1,16,et,True,1,,247,,247,e,0,247,247,247
3,1327,1,17,skab,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,18,af,True,1,,302,,302,a,0,302,302,302
3,1327,1,19,–,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,20,det,True,2,,288,,511,d,0,288,TBD,TBD
3,1327,1,21,"skab,",True,2,,166,,315,a,2,166,315,315
3,1327,1,22,vi,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,23,har,True,1,,131,,131,h,0,131,131,131
3,1327,1,24,følt,True,1,,251,,251,l,2,251,TBD,TBD
3,1327,1,25,os,True,1,,121,,121,o,0,121,TBD,TBD
3,1327,1,26,begrænset,True,2,,89,,217,n,5,89,217,217
3,1327,1,27,"af,",True,1,,255,,255,a,0,255,255,255
3,1327,1,28,indelukket,True,1,,325,,325,u,5,325,325,325
3,1327,1,29,"i,",False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,30,og,True,1,,158,,158,g,1,158,158,158
3,1327,1,31,som,True,2,,159,,339,o,1,159,TBD,339
3,1327,1,32,de,True,1,,222,,222,d,0,222,222,222
3,1327,1,33,fleste,True,1,,174,,174,e,5,174,174,174
3,1327,1,34,af,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,35,os,True,1,,184,,184,s,1,184,TBD,TBD
3,1327,1,36,er,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,37,brudt,True,2,,114,,552,b,0,114,TBD,552
3,1327,1,38,ud,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,39,af,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,40,for,True,1,,314,,314,f,0,314,314,314
3,1327,1,41,at,False,0,,NA,,NA,NA,NA,NA,NA,NA
3,1327,1,42,kunne,True,1,,206,,206,n,2,206,206,206
3,1327,1,43,blive,True,1,,96,,96,i,2,96,96,96
3,1327,1,44,lykkeligere.,True,3,,103,,1117,.,11,103,TBD,TBD
4,1327,2,1,'Men,True,1,,195,,195,n,3,195,TBD,TBD
4,1327,2,2,skabe,True,1,,113,,113,s,0,113,TBD,TBD
4,1327,2,3,er,True,2,,106,,383,e,0,383,TBD,383
4,1327,2,4,da,False,0,,NA,,NA,NA,NA,NA,NA,NA
4,1327,2,5,ganske,True,1,,178,,178,g,0,178,178,178
4,1327,2,6,praktiske,True,2,,138,,471,p,0,138,471,471
4,1327,2,7,til,False,0,,NA,,NA,NA,NA,NA,NA,NA
