trialId,speechId,paragraphId,wordId,word,word_fixated,number_of_fixations,word_landing_position_char,word_landing_position_index,word_first_fixation_duration,word_mean_fixation_duration,word_first_char_dwell_time,word_total_fix_time,word_gaze_duration,word_go_past_time
1,1327,-1,1,NY,False,0,NA,NA,NA,NA,NA,NA,NA,NA
1,1327,-1,2,TALE,True,7,E,3,202,367.14285714285717,202,2570,1068,1068
1,1327,-1,3,BEGYNDER,True,3,B,0,100,213.0,100,639,374,374
1,1327,-1,4,NU,False,0,NA,NA,NA,NA,NA,NA,NA,NA
2,1327,0,1,Hej,False,0,NA,NA,NA,NA,NA,NA,NA,NA
2,1327,0,2,alle,True,1,e,3,272,272.0,272,272,272,272
2,1327,0,3,sammen!,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,1,Som,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,2,I,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,3,allerede,True,3,a,0,202,141.66666666666666,296,425,129,129
3,1327,1,4,"ved,",False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,5,vil,True,2,i,1,122,145.5,122,291,169,169
3,1327,1,6,vi,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,7,om,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,8,lidt,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,9,tænde,True,1,t,0,350,350.0,350,350,350,350
3,1327,1,10,for,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,11,et,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,12,"bål,",False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,13,der,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,14,vil,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,15,brænde,True,1,b,0,220,220.0,220,220,220,220
3,1327,1,16,et,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,17,skab,True,2,b,3,308,281.5,308,563,255,255
3,1327,1,18,af,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,19,–,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,20,det,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,21,"skab,",True,2,k,1,300,252.0,300,504,204,204
3,1327,1,22,vi,True,2,i,1,428,449.0,898,898,898,898
3,1327,1,23,har,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,24,følt,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,25,os,True,1,s,1,251,251.0,251,251,251,251
3,1327,1,26,begrænset,True,3,s,6,233,201.66666666666666,233,605,238,238
3,1327,1,27,"af,",False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,28,indelukket,True,5,n,1,241,188.8,241,944,195,195
3,1327,1,29,"i,",True,1,",",1,169,169.0,169,169,169,169
3,1327,1,30,og,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,31,som,True,1,m,2,142,142.0,142,142,142,142
3,1327,1,32,de,True,1,d,0,197,197.0,197,197,197,197
3,1327,1,33,fleste,True,3,f,0,209,150.33333333333334,209,451,242,242
3,1327,1,34,af,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,35,os,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,36,er,True,1,r,1,273,273.0,273,273,273,273
3,1327,1,37,brudt,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,38,ud,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,39,af,True,1,a,0,328,328.0,328,328,328,328
3,1327,1,40,for,True,1,r,2,158,158.0,158,158,158,158
3,1327,1,41,at,False,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1327,1,42,kunne,True,2,k,0,182,387.0,182,774,592,592
3,1327,1,43,blive,True,1,b,0,398,398.0,398,398,398,398
3,1327,1,44,lykkeligere.,True,2,k,3,248,237.0,248,474,226,226
4,1327,2,1,'Men,False,0,NA,NA,NA,NA,NA,NA,NA,NA
4,1327,2,2,skabe,False,0,NA,NA,NA,NA,NA,NA,NA,NA
4,1327,2,3,er,False,0,NA,NA,NA,NA,NA,NA,NA,NA
